右上経度,右上緯度,左下経度,左下緯度,kW単価(φ800mm)_Dg3
34.7077,135.4486,34.7049,135.4458,1322.97319
34.7077,135.4513,34.7049,135.4485,1306.888121
34.7077,135.454,34.7049,135.4513,1277.322694
34.7077,135.4567,34.7049,135.454,1273.681856
34.7077,135.4595,34.7049,135.4567,1258.030054
34.7077,135.4622,34.7049,135.4595,1258.110895
34.7077,135.4649,34.7049,135.4622,1270.124384
34.7077,135.4677,34.705,135.4649,1290.025614
34.7078,135.4704,34.705,135.4676,1280.635206
34.7078,135.4731,34.705,135.4704,1267.34584
34.7078,135.4758,34.705,135.4731,1259.988041
34.7078,135.4786,34.705,135.4758,1256.539368
34.7078,135.4813,34.705,135.4786,1256.763262
34.7078,135.484,34.705,135.4813,1286.357324
34.7078,135.4868,34.705,135.484,1297.093055
34.7078,135.4895,34.705,135.4867,1304.431102
34.7079,135.4922,34.7051,135.4895,1322.282104
34.7079,135.495,34.7051,135.4922,1357.581951
34.7079,135.4977,34.7051,135.4949,1386.754338
34.7079,135.5004,34.7051,135.4977,1421.206994
34.7079,135.5031,34.7051,135.5004,1609.872744
34.7079,135.5059,34.7051,135.5031,1717.431838
34.7079,135.5086,34.7051,135.5059,3822.826579
34.7082,135.585,34.7054,135.5823,2828.84103
34.7082,135.5878,34.7054,135.585,1395.5529
34.7082,135.5905,34.7054,135.5877,1113.577655
34.7082,135.5932,34.7054,135.5905,1201.190094
34.7082,135.596,34.7054,135.5932,1294.471163
34.7083,135.5987,34.7055,135.5959,1306.939503
34.7053,135.4322,34.7025,135.4294,1343.213313
34.7053,135.4349,34.7026,135.4322,1332.769393
34.7054,135.4377,34.7026,135.4349,1329.491296
34.7054,135.4404,34.7026,135.4376,1331.172109
34.7054,135.4431,34.7026,135.4404,1339.026013
34.7054,135.4458,34.7026,135.4431,1339.289339
34.7054,135.4486,34.7026,135.4458,1339.495911
34.7054,135.4513,34.7026,135.4485,1336.628001
34.7054,135.454,34.7026,135.4513,1312.719539
34.7054,135.4568,34.7027,135.454,1302.16785
34.7055,135.4595,34.7027,135.4567,1293.865389
34.7055,135.4622,34.7027,135.4595,1297.928738
34.7055,135.4649,34.7027,135.4622,1320.222673
34.7055,135.4677,34.7027,135.4649,1333.946838
34.7055,135.4704,34.7027,135.4677,1312.909235
34.7055,135.4731,34.7027,135.4704,1296.311722
34.7055,135.4759,34.7027,135.4731,1260.532052
34.7055,135.4786,34.7027,135.4758,1259.053409
34.7056,135.4813,34.7028,135.4786,1256.734065
34.7056,135.4841,34.7028,135.4813,1288.823036
34.7056,135.4868,34.7028,135.484,1305.113065
34.7056,135.4895,34.7028,135.4868,1315.962704
34.7056,135.4922,34.7028,135.4895,1343.784718
34.7056,135.495,34.7028,135.4922,1384.330908
34.7056,135.4977,34.7028,135.495,1416.92435
34.7056,135.5004,34.7028,135.4977,1487.061176
34.7056,135.5032,34.7029,135.5004,1647.657016
34.7057,135.5059,34.7029,135.5031,1749.845543
34.7057,135.5086,34.7029,135.5059,3901.235811
34.7059,135.5823,34.7031,135.5796,4173.221464
34.706,135.585,34.7032,135.5823,2160.920231
34.706,135.5878,34.7032,135.585,1517.724865
34.706,135.5905,34.7032,135.5878,1252.879897
34.706,135.5932,34.7032,135.5905,1327.034253
34.706,135.596,34.7032,135.5932,1442.164944
34.706,135.5987,34.7032,135.5959,1390.190081
34.7031,135.4267,34.7003,135.424,1405.832678
34.7031,135.4295,34.7003,135.4267,1404.823595
34.7031,135.4322,34.7003,135.4295,1389.440431
34.7031,135.4349,34.7003,135.4322,1360.572757
34.7031,135.4377,34.7003,135.4349,1352.275824
34.7031,135.4404,34.7003,135.4376,1352.88472
34.7031,135.4431,34.7003,135.4404,1367.465354
34.7031,135.4459,34.7003,135.4431,1372.95583
34.7032,135.4486,34.7004,135.4458,1360.527938
34.7032,135.4513,34.7004,135.4486,1339.874544
34.7032,135.454,34.7004,135.4513,1319.572358
34.7032,135.4568,34.7004,135.454,1319.585279
34.7032,135.4595,34.7004,135.4568,1315.67411
34.7032,135.4622,34.7004,135.4595,1315.975034
34.7032,135.465,34.7004,135.4622,1323.519328
34.7032,135.4677,34.7004,135.4649,1328.134812
34.7033,135.4704,34.7005,135.4677,1332.524882
34.7033,135.4731,34.7005,135.4704,1330.068922
34.7033,135.4759,34.7005,135.4731,1315.032422
34.7033,135.4786,34.7005,135.4759,1283.473831
34.7033,135.4813,34.7005,135.4786,1265.253839
34.7033,135.4841,34.7005,135.4813,1304.365331
34.7033,135.4868,34.7005,135.484,1310.441455
34.7033,135.4895,34.7005,135.4868,1333.19393
34.7033,135.4923,34.7006,135.4895,1366.59049
34.7034,135.495,34.7006,135.4922,1402.581124
34.7034,135.4977,34.7006,135.495,1456.429764
34.7034,135.5004,34.7006,135.4977,1479.536149
34.7034,135.5032,34.7006,135.5004,1688.135727
34.7034,135.5059,34.7006,135.5032,1792.654954
34.7034,135.5086,34.7006,135.5059,3849.065185
34.7037,135.5796,34.7009,135.5768,3736.369463
34.7037,135.5823,34.7009,135.5796,3487.278166
34.7037,135.5851,34.7009,135.5823,2532.497499
34.7037,135.5878,34.7009,135.585,1671.861425
34.7037,135.5905,34.7009,135.5878,1626.105779
34.7037,135.5932,34.7009,135.5905,1486.932174
34.7037,135.596,34.7009,135.5932,1477.728581
34.7008,135.4186,34.698,135.4158,1439.782175
34.7008,135.4213,34.698,135.4186,1434.368431
34.7008,135.424,34.698,135.4213,1407.879127
