原点(緯度),原点(経度),kW単価(φ300mm)_Dg1,kW単価(φ300mm)_Dg2,kW単価(φ300mm)_Dg3,kW単価(φ300mm)_Dg4
34.7313028,135.5043524,175.5093527,0,0,0
34.73131389,135.5070828,171.0594511,0,0,0
34.73132491,135.5098133,163.1512973,0,0,0
34.73133587,135.5125437,145.2759493,0,0,0
34.73134678,135.5152742,142.5672616,0,0,0
34.73135763,135.5180046,142.5672616,0,0,0
34.73136841,135.5207351,137.359715,0,0,0
34.73137914,135.5234655,135.493635,0,0,0
34.73138979,135.526196,136.786359,0,0,0
34.73140035,135.5289264,138.6046671,0,0,0
34.73141086,135.5316569,135.7341562,0,0,0
34.73142131,135.5343873,135.7341562,0,0,0
34.73143169,135.5371178,135.7341562,0,0,0
34.73144201,135.5398483,134.5400141,0,0,0
34.73145227,135.5425787,139.2779138,0,0,0
34.73146246,135.5453092,151.6131685,0,0,0
34.7314726,135.5480397,166.9510364,646.1478997,0,0
34.73148267,135.5507701,197.2405193,513.3867422,9268.80393,0
34.73149269,135.5535006,260.0801859,439.5373494,7935.509777,0
34.73150265,135.5562311,379.7859669,561.712183,0,0
34.72881555,135.4497587,132.2899216,,,
34.72882779,135.4524891,132.2899216,30.16452337,1603.865618,2175.987514
34.72883997,135.4552194,132.2899216,30.30023376,1618.549999,2177.991335
34.72885209,135.4579498,132.2899216,30.56300058,1630.356251,2174.312467
34.72886415,135.4606801,133.6775781,30.89650789,1642.826821,2139.289079
34.72887615,135.4634105,136.2987071,31.12510437,1654.853429,2128.42513
34.72892358,135.4743319,181.9117557,32.96883432,1715.591316,2170.712413
34.72893528,135.4770623,198.7787903,33.68962459,1722.907244,2183.993242
34.72894693,135.4797926,207.9698314,34.46903619,1731.280001,2198.118878
34.72895852,135.482523,192.7653143,37.06564318,1847.228859,2228.410078
34.72897005,135.4852533,187.2577339,39.02202425,1907.880916,2252.700422
34.72898152,135.4879837,185.4411673,39.95153896,1939.201114,2277.729264
34.72899294,135.490714,183.2194281,40.84179814,1973.489672,2247.175594
34.7290043,135.4934444,179.0716034,41.4865852,1993.090562,2239.109031
34.7290156,135.4961747,179.0716034,95.36079163,2507.19996,1933.76213
34.72902684,135.4989051,176.3187732,182.6350071,4217.873299,1754.861353
34.72903804,135.5016355,171.6996437,0,0,3104.238509
34.72904919,135.5043658,167.3163559,0,0,0
34.72906028,135.5070962,161.656606,0,0,0
34.72907131,135.5098266,150.6176783,0,0,0
34.72908228,135.512557,137.1954091,0,0,0
34.72909319,135.5152873,133.8335613,0,0,0
34.72910404,135.5180177,135.0151407,0,0,0
34.72911483,135.5207481,133.2892063,0,0,0
34.72912556,135.5234785,134.93572,0,0,0
34.7291362,135.5262089,135.7341562,0,0,0
34.72914677,135.5289392,134.7771586,0,0,0
34.72915727,135.5316696,134.7771586,0,0,0
34.72916771,135.5344,134.7771586,0,0,0
34.72917809,135.5371304,135.7341562,0,0,0
34.7291884,135.5398608,136.8679737,0,0,0
34.72919865,135.5425912,147.3286602,0,0,0
34.72920884,135.5453216,161.656606,603.1225936,0,0
34.72921897,135.548052,199.1238923,522.3749755,9431.079591,0
34.72922904,135.5507824,274.7194299,629.3127807,0,0
34.72923905,135.5535128,429.5706442,608.1847737,0,0
34.72924901,135.5562432,0,674.5027942,0,0
34.72656194,135.4497737,132.2899216,33.4192127,1674.809569,2248.379436
34.72657419,135.452504,132.2899216,33.69607074,1731.875021,2192.596289
34.72658637,135.4552343,132.2899216,32.71177126,1699.333348,2186.983412
34.72659848,135.4579645,132.2899216,32.88049276,1704.492142,2174.936535
34.72661054,135.4606948,132.2899216,33.03362959,1712.535823,2150.032944
34.72662254,135.4634251,135.4136505,32.28381639,1679.141568,2143.608777
34.72663449,135.4661554,137.6895102,32.15572973,1680.057793,2137.024455
34.72664637,135.4688856,142.5672616,32.46809708,1690.430093,2133.814677
34.7266582,135.4716159,150.91495,32.72117007,1697.419874,2147.568645
34.72666996,135.4743462,162.1135859,33.06841613,1713.13174,2155.934156
34.72668167,135.4770765,169.6676953,33.54715035,1719.469972,2169.37926
34.72669332,135.4798068,171.1871075,34.167374,1716.797941,2179.540642
34.7267049,135.482537,170.2974937,36.92078698,1843.712352,2190.268149
34.72671643,135.4852673,168.4219706,38.58060855,1895.429456,2202.443719
34.7267279,135.4879976,166.9510364,39.10046773,1904.880559,2209.675214
34.72673932,135.4907279,163.1512973,39.81242815,1932.747715,2188.324249
34.72675068,135.4934581,163.1512973,40.5663866,1959.287228,2168.619448
34.72676198,135.4961884,162.4580198,93.59317885,2491.98079,1792.252926
34.72677322,135.4989187,158.5284893,182.665715,4244.203447,1448.751435
34.72678442,135.501649,157.0093936,573.7851824,0,2352.686028
34.72679558,135.5043793,152.6219055,0,0,0
34.72680667,135.5071096,144.1802162,0,0,0
34.72681771,135.5098399,141.2504458,0,0,0
34.72682868,135.5125702,132.1375138,0,0,0
34.7268396,135.5153005,129.6725404,0,0,0
34.72685045,135.5180308,135.0151407,0,0,0
34.72686125,135.5207611,135.0946549,0,0,0
34.72687198,135.5234914,134.0682197,0,0,0
34.72688262,135.5262217,132.9801298,0,0,0
34.72689318,135.5289521,133.9116894,0,0,0
34.72690367,135.5316824,132.5957942,0,0,0
34.72691411,135.5344127,134.6980176,0,0,0
34.72692448,135.537143,135.7341562,0,0,0
34.72693479,135.5398734,136.8679737,0,0,0
34.72694503,135.5426037,156.154339,537.8855793,9711.111647,0
34.72695521,135.545334,190.6822311,0,0,0
34.72696533,135.5480643,268.6074051,584.3618678,0,0
34.7269754,135.5507947,458.781448,348.369575,6289.545524,0
34.72698541,135.553525,0,450.4672302,8132.840393,0
34.72699536,135.5562553,0,0,0,0
34.72430834,135.4497887,132.2899216,34.99580924,1779.209945,2248.174984
34.72432058,135.4525189,132.2899216,34.4785493,1761.793981,2190.053577
34.72433276,135.4552491,132.2899216,34.26575234,1756.016158,2177.189803
34.72434488,135.4579793,132.2899216,33.73488702,1744.742133,2155.734398
34.72435694,135.4607095,133.6775781,33.68002909,1741.338319,2130.427452
34.72436894,135.4634397,135.7341562,33.46420701,1730.965523,2119.639598
34.72438088,135.4661699,135.8145198,32.99577953,1712.477017,2116.004142
34.72439276,135.4689001,138.6046671,33.14701081,1720.957355,2110.725129
34.72440458,135.4716303,144.0896507,33.22097319,1720.093157,2119.708688
34.72441635,135.4743605,148.5691218,33.30429141,1723.156783,2131.154724
34.72442805,135.4770907,151.0143015,33.37929151,1715.748934,2139.124845
34.7244397,135.4798209,154.1604328,33.99191648,1712.38604,2146.287987
34.72445129,135.4825511,153.953506,36.38550647,1818.229176,2155.624038
34.72446281,135.4852813,153.953506,37.82394183,1865.484384,2172.224822
34.72447428,135.4880115,152.8252658,38.76023354,1897.603917,2166.545203
34.7244857,135.4907417,152.6219055,39.35487527,1917.632125,2141.939034
34.72449706,135.4934719,150.2231329,39.94503595,1939.106611,2124.451195
34.72450835,135.4962021,162.4580198,88.82740333,2413.015981,1763.205555
34.72451959,135.4989323,158.5284893,134.9302365,3482.094643,1443.870333
34.7245308,135.5016625,157.0093936,205.8480628,4760.483325,1391.229353
34.72454196,135.5043928,152.6219055,312.5127797,6790.868738,0
34.72455306,135.507123,144.1802162,569.9169677,0,0
34.7245641,135.5098532,141.2504458,0,0,0
34.72457508,135.5125835,132.1375138,0,0,0
34.724586,135.5153137,129.6725404,0,0,0
34.72459686,135.5180439,135.0151407,0,0,0
34.72460766,135.5207742,135.0946549,0,0,0
34.7246184,135.5235044,134.0682197,0,0,0
34.72462904,135.5262346,132.9801298,0,0,0
34.72463959,135.5289649,133.9116894,0,0,0
34.72465008,135.5316952,132.5957942,0,0,0
34.7246605,135.5344254,134.6980176,0,0,0
34.72467086,135.5371557,135.7341562,0,0,0
34.72468117,135.5398859,136.8679737,0,0,0
34.7246914,135.5426162,156.154339,632.4514978,0,0
34.72470158,135.5453464,190.6822311,431.314712,7787.056363,0
34.7247117,135.5480767,268.6074051,312.5237839,5642.377254,0
34.72472176,135.5508069,458.781448,371.0505496,6699.033126,0
34.72473176,135.5535372,0,371.0505496,6699.033126,0
34.72474171,135.5562674,0,666.5257572,0,0
34.72205473,135.4498037,132.2899216,35.42217756,1816.502969,2236.728992
34.72206698,135.4525338,132.2899216,34.50016667,1769.077662,2263.869491
34.72207916,135.4552639,132.2899216,33.49062083,1736.259008,2236.53964
34.72209128,135.457994,132.2899216,33.15736601,1725.782357,2227.378984
34.72210334,135.4607241,133.6775781,32.70035302,1713.447384,2203.404835
34.72211534,135.4634543,135.7341562,32.87402769,1720.294466,2195.493207
34.72212728,135.4661844,135.8145198,32.61428623,1709.715129,2188.903678
34.72213916,135.4689145,138.6046671,33.23993268,1727.681508,2108.928804
34.72215097,135.4716447,144.0896507,33.07868358,1709.157595,2107.908639
34.72216273,135.4743748,148.5691218,32.93369226,1707.938074,2117.035146
34.72217444,135.4771049,151.0143015,33.21157804,1710.987814,2121.971961
34.72218608,135.479835,154.1604328,34.15809608,1714.532038,2136.643352
34.72219767,135.4825652,153.953506,36.47226115,1829.31653,2144.171155
34.72220919,135.4852953,153.953506,37.47064497,1861.645501,2136.839013
34.72222066,135.4880254,152.8252658,38.23206012,1878.941309,2143.911331
34.72223208,135.4907556,152.6219055,38.90457075,1906.239092,2129.070853
34.72224343,135.4934857,150.2231329,39.42039728,1919.655404,2117.78857
34.72225473,135.4962158,145.4601928,44.87701098,2205.520291,1901.088628
34.72226596,135.4989459,142.8335766,93.19407112,2459.807072,1741.055874
34.72227717,135.5016761,141.7742423,113.5584308,2823.262769,1739.104325
34.72228834,135.5044062,138.5209686,154.9164043,3624.900323,3982.629592
34.72229944,135.5071364,136.786359,384.4650833,6839.117463,0
34.72231049,135.5098666,134.2251164,0,0,0
34.72232148,135.5125967,129.1614437,0,0,0
34.72233241,135.5153269,129.6725404,0,0,0
34.72234327,135.518057,133.0572645,0,0,0
34.72235408,135.5207872,131.0804137,0,0,0
34.72236483,135.5235174,130.1138536,0,0,0
34.72237547,135.5262475,131.0804137,0,0,0
34.722386,135.5289777,132.9801298,0,0,0
34.72239647,135.5317079,132.2899216,0,0,0
34.72240689,135.5344381,133.3667,0,0,0
34.72241724,135.5371683,134.0682197,0,0,0
34.72242753,135.5398985,138.1039879,0,0,0
34.72243777,135.5426286,170.9319851,0,0,0
34.72244794,135.5453588,227.5701627,445.3258132,8040.016052,0
34.72245805,135.548089,366.4388562,393.1985281,7098.897894,0
34.72246811,135.5508192,0,444.1559556,8018.895169,0
34.72247811,135.5535494,0,423.0409518,7637.679969,0
34.72248805,135.5562795,0,626.9791116,0,0
34.72250775,135.5617399,0,0,0,0
34.71981337,135.4525487,132.2899216,35.69188182,1790.99501,2360.658508
34.71982555,135.4552787,132.2899216,34.84298945,1766.243571,2337.182887
34.71983767,135.4580088,132.2899216,33.63867693,1728.825403,2316.201439
34.71984973,135.4607388,132.6724835,33.2767536,1721.938804,2309.081891
34.71986173,135.4634689,133.0572645,33.34515392,1724.302208,2305.207859
34.71987367,135.4661989,135.8145198,33.86685944,1738.734958,2305.398189
34.71988555,135.468929,138.6046671,33.87120574,1744.542264,2275.158246
34.71989736,135.471659,141.5992123,33.38967227,1732.787674,2205.162444
34.71990912,135.4743891,143.4588643,32.83492171,1715.064216,2197.505574
34.71992082,135.4771191,143.9088607,33.24026396,1712.628579,2201.865959
34.71993247,135.4798492,143.9088607,34.6811535,1735.403236,2208.735721
34.71994405,135.4825792,145.2759493,36.26650635,1823.45018,2203.643083
34.71995558,135.4853093,143.9088607,36.76782608,1836.636225,2200.622864
34.71996704,135.4880393,143.9088607,37.78859706,1869.836023,2189.669785
34.71997845,135.4907694,143.6385247,38.27286163,1884.514177,2180.466177
34.71998981,135.4934994,140.5580417,38.97019101,1907.481,2170.65496
34.72000109,135.4962295,137.2775129,42.07910936,1986.935569,2040.802942
34.72001233,135.4989595,133.5997228,46.56836236,2028.893761,1975.573928
34.72002354,135.5016896,129.8193118,99.57184429,2358.991962,1989.102298
34.72003471,135.5044197,130.727878,154.5838197,3561.922724,2966.123061
34.72004582,135.5071498,132.2899216,386.6526209,6578.720031,0
34.72005688,135.5098799,130.1138536,0,0,0
34.72006787,135.51261,129.4096137,0,0,0
34.72007881,135.5153401,128.1062902,0,0,0
34.72008968,135.5180702,133.1041259,0,0,0
34.7201005,135.5208002,130.6655299,0,0,0
34.72011125,135.5235303,129.0887586,0,0,0
