原点(経度),原点(緯度),メッシュあたり賦存量MJ/y
135.4743176,34.73117719,19381950.73
135.477048,34.7311889,19203134.2
135.4797785,34.73120055,18893209.33
135.4825089,34.73121214,18179411.48
135.4852393,34.73122367,17840072.43
135.4879697,34.73123514,17433203.82
135.4907002,34.73124656,17060680.33
135.4934306,34.73125792,16693241.58
135.496161,34.73126922,13775155.54
135.4988915,34.73128046,8326875.483
135.5016219,34.73129165,3382267.232
135.5043524,34.7313028,1340696.509
135.5070828,34.73131389,1337917.082
135.5098133,34.73132491,1481102.301
135.5125437,34.73133587,1750850.97
135.5152742,34.73134678,1883993.893
135.5180046,34.73135763,1695488.217
135.5207351,34.73136841,1629803.708
135.5234655,34.73137914,1671774.13
135.526196,34.73138979,1705144.648
135.5289264,34.73140035,1719796.725
135.5316569,34.73141086,1796062.518
135.5343873,34.73142131,1838814.872
135.5371178,34.73143169,1854770.44
135.5398483,34.73144201,1855580.612
135.5425787,34.73145227,1871824.354
135.5453092,34.73146246,1936678.728
135.5480397,34.7314726,1872245.657
135.5507701,34.73148267,1758386.886
135.5535006,34.73149269,1549595.902
135.5562311,34.73150265,1121831.547
135.5589616,34.73151255,892204.0312
135.561692,34.73152238,779238.056
135.5644225,34.73153215,726133.7812
135.567153,34.73154185,653290.4456
135.5698835,34.73155149,422724.9332
135.572614,34.73156107,286428.8122
135.5753445,34.73157059,2228367.2
135.578075,34.73158004,45411.79504
135.5808055,34.73158944,43299.61853
135.583536,34.73159877,6336.529541
135.5862665,34.73160804,0
135.588997,34.73161724,0
135.5917275,34.73162638,0
135.594458,34.73163545,0
135.5971885,34.73164447,0
135.5999189,34.73165342,0
135.3924223,34.7285439,4009967.111
135.3951526,34.7285575,3798749.46
135.3978829,34.72857103,3705813.693
135.4006132,34.72858449,3656177.545
135.4033435,34.72859786,3628719.25
135.4060738,34.72861117,3527334.778
135.408804,34.72862442,3293939.273
135.4115343,34.7286376,3043646.356
135.4142646,34.72865072,2790185.175
135.4169949,34.72866377,2469134.344
135.4197252,34.72867677,2140690.897
135.4224556,34.7286897,1962211.981
135.4251859,34.72870257,1831257.037
135.4279162,34.72871537,1831257.037
