右上経度,右上緯度,左下経度,左下緯度,メッシュあたり賦存量MJ/y
135.4374,34.7434,135.4346,34.7411,1831257.037
135.4401,34.7434,135.4374,34.7412,1831257.037
135.4429,34.7434,135.4401,34.7412,1831257.037
135.4456,34.7434,135.4428,34.7412,1831257.037
135.4483,34.7435,135.4456,34.7412,1831257.037
135.4511,34.7435,135.4483,34.7412,1831257.037
135.4538,34.7435,135.451,34.7412,1821752.243
135.4565,34.7435,135.4537,34.7412,1821752.243
135.4592,34.7435,135.4565,34.7412,1773172.183
135.462,34.7435,135.4592,34.7413,1569347.15
135.4647,34.7435,135.4619,34.7413,1262025.467
135.4674,34.7435,135.4647,34.7413,1015956.903
135.4702,34.7435,135.4674,34.7413,1199716.26
135.4729,34.7436,135.4701,34.7413,1235623.26
135.4756,34.7436,135.4729,34.7413,1215557.584
135.4784,34.7436,135.4756,34.7413,1159584.906
135.4811,34.7436,135.4783,34.7413,1053976.08
135.4838,34.7436,135.4811,34.7414,14635081.63
135.4866,34.7436,135.4838,34.7414,14415893.65
135.4893,34.7436,135.4865,34.7414,13899127.22
135.492,34.7436,135.4892,34.7414,10928900.1
135.4947,34.7437,135.492,34.7414,6611852.205
135.4975,34.7437,135.4947,34.7414,2785518.431
135.5002,34.7437,135.4974,34.7414,1522038.54
135.5029,34.7437,135.5002,34.7414,957408.8636
135.5057,34.7437,135.5029,34.7414,365022.5955
135.5084,34.7437,135.5056,34.7415,251299.9565
135.5111,34.7437,135.5084,34.7415,576124.0789
135.5139,34.7437,135.5111,34.7415,708362.1125
135.5166,34.7437,135.5138,34.7415,245753.635
135.5193,34.7438,135.5166,34.7415,417437.7325
135.5221,34.7438,135.5193,34.7415,778731.1873
135.5248,34.7438,135.522,34.7415,801454.819
135.5275,34.7438,135.5247,34.7415,700590.857
135.5302,34.7438,135.5275,34.7415,732195.778
135.533,34.7438,135.5302,34.7416,1165200.677
135.5357,34.7438,135.5329,34.7416,990498.0274
135.5384,34.7438,135.5357,34.7416,1009209.241
135.5412,34.7438,135.5384,34.7416,1082849.605
135.5439,34.7438,135.5411,34.7416,1504993.323
135.5466,34.7439,135.5439,34.7416,1594512.984
135.5494,34.7439,135.5466,34.7416,1711745.571
135.5521,34.7439,135.5493,34.7416,1842222.263
135.5548,34.7439,135.5521,34.7416,1883417.981
135.5576,34.7439,135.5548,34.7416,2001206.547
135.5603,34.7439,135.5575,34.7417,2174123.637
135.563,34.7439,135.5602,34.7417,2324002.166
135.5657,34.7439,135.563,34.7417,2529472.811
135.5685,34.7439,135.5657,34.7417,2762321.051
135.5712,34.7439,135.5684,34.7417,2888401.382
135.5739,34.744,135.5712,34.7417,2470190.433
135.5767,34.744,135.5739,34.7417,2559957.935
135.5794,34.744,135.5766,34.7417,2473358.698
135.5821,34.744,135.5794,34.7417,1676012.064
135.5849,34.744,135.5821,34.7417,1017012.991
135.5876,34.744,135.5848,34.7417,501641.922
135.5903,34.744,135.5876,34.7418,179535.0037
135.5931,34.744,135.5903,34.7418,110889.267
135.5958,34.744,135.593,34.7418,362238.2721
135.5985,34.744,135.5957,34.7418,510090.6281
135.6013,34.744,135.5985,34.7418,570287.6587
135.3937,34.7409,135.391,34.7387,3420669.864
135.3965,34.741,135.3937,34.7387,3547400.455
135.3992,34.741,135.3964,34.7387,3431230.746
135.4019,34.741,135.3991,34.7387,3212620.477
135.4046,34.741,135.4019,34.7387,2934869.266
135.4074,34.741,135.4046,34.7388,2646557.172
135.4101,34.741,135.4073,34.7388,2341347.665
135.4128,34.741,135.4101,34.7388,2049867.307
135.4156,34.741,135.4128,34.7388,1892510.156
135.4183,34.7411,135.4155,34.7388,1847098.361
135.421,34.7411,135.4183,34.7388,1841817.92
135.4238,34.7411,135.421,34.7388,1831257.037
135.4265,34.7411,135.4237,34.7388,1831257.037
135.4292,34.7411,135.4265,34.7389,1831257.037
135.432,34.7411,135.4292,34.7389,1831257.037
135.4347,34.7411,135.4319,34.7389,1831257.037
135.4374,34.7411,135.4346,34.7389,1831257.037
135.4401,34.7412,135.4374,34.7389,1831257.037
135.4429,34.7412,135.4401,34.7389,1831257.037
135.4456,34.7412,135.4428,34.7389,1831257.037
135.4483,34.7412,135.4456,34.7389,1831257.037
135.4511,34.7412,135.4483,34.739,1831257.037
135.4538,34.7412,135.451,34.739,1821752.243
135.4565,34.7412,135.4538,34.739,1794293.948
135.4593,34.7412,135.4565,34.739,1784789.154
135.462,34.7413,135.4592,34.739,1663339.005
135.4647,34.7413,135.462,34.739,1428887.411
135.4675,34.7413,135.4647,34.739,1169089.7
135.4702,34.7413,135.4674,34.739,1263081.555
135.4729,34.7413,135.4701,34.7391,1247240.231
135.4756,34.7413,135.4729,34.7391,1235623.26
135.4784,34.7413,135.4756,34.7391,16124925.79
135.4811,34.7413,135.4783,34.7391,15875215.86
135.4838,34.7414,135.4811,34.7391,15768334.92
135.4866,34.7414,135.4838,34.7391,15642025.23
135.4893,34.7414,135.4865,34.7391,14807698.81
135.492,34.7414,135.4893,34.7391,12865834.97
135.4948,34.7414,135.492,34.7391,10385842.43
135.4975,34.7414,135.4947,34.7392,4847299.34
135.5002,34.7414,135.4975,34.7392,1873459.171
135.503,34.7414,135.5002,34.7392,1393837.677
135.5057,34.7414,135.5029,34.7392,1084774.647
135.5084,34.7415,135.5056,34.7392,1053401.624
135.5111,34.7415,135.5084,34.7392,1156645.536
135.5139,34.7415,135.5111,34.7392,1044779.394
135.5166,34.7415,135.5138,34.7392,771238.9549
135.5193,34.7415,135.5166,34.7392,812505.6102
135.5221,34.7415,135.5193,34.7393,943467.3442
135.5248,34.7415,135.522,34.7393,1137892.064
135.5275,34.7415,135.5248,34.7393,1024646.191
135.5303,34.7415,135.5275,34.7393,1091506.805
135.533,34.7416,135.5302,34.7393,1498021.57
135.5357,34.7416,135.533,34.7393,1613232.881
135.5385,34.7416,135.5357,34.7393,1583691.088
135.5412,34.7416,135.5384,34.7393,1540474.093
