原点(経度),原点(緯度),メッシュあたり賦存量MJ/y,メッシュあたり導入P_MJ/y,メッシュあたり条件付P_ML/y
135.586074386562,34.769920075309,,,
135.588806105439,34.7699293168088,,,
135.591537803848,34.7699385004264,,,
135.594269503412,34.7699476228169,,,
135.597001204125,34.76995668398,,,
135.599732906653,34.7699656816349,,,
135.602464611836,34.769974612897,,,
135.605196319002,34.7699834800574,,,
135.367556418408,34.7667300567352,,,
135.370287976962,34.7667441691916,,,
135.373019537465,34.7667582204053,,,
135.375751093238,34.7667722106984,,,
135.378482642873,34.7667861400428,,,
135.381214192968,34.7668000081988,,,
135.383945744984,34.7668138151058,,,
135.386677295574,34.7668275602075,,,
135.389408834217,34.7668412416557,,,
135.392140364265,34.7668548599975,,,
135.394871896206,34.7668684170892,,,
135.397603430031,34.7668819129307,,,
135.400334956102,34.7668953446341,,,
135.403066469386,34.7669087105678,,,
135.405797979608,34.7669220137432,,,
135.408529491695,34.7669352556819,,,
135.411261006222,34.7669484365899,,,
135.413992529283,34.7669615586279,,,
135.416724059923,34.7669746209169,,,
135.419455592474,34.7669876220019,,,
135.422187126924,34.7670005618826,,,
135.424918692011,34.7670134490854,,,
135.427650315838,34.7670262933669,,,
135.430381969402,34.7670390859034,,,
135.433113624566,34.7670518171469,,,
135.435845281323,34.7670644870978,,,
135.438576948045,34.7670770943038,,,
135.441308625195,34.7670896381112,,,
135.444040304555,34.7671021204897,,,
135.446771985537,34.7671145415867,,,
135.449503661301,34.7671268954265,,,
135.452235319306,34.7671391708622,,,
135.454966966305,34.7671513736395,,,
135.457698614987,34.7671635151849,,,
135.460430265343,34.7671755954982,,,
135.463161910413,34.7671876116523,,,
135.465893548415,34.7671995628699,,,
135.468625186165,34.7672114520423,,,
135.471356825538,34.7672232799621,,,
135.474088465481,34.7672350477193,,,
135.476820101953,34.7672467595216,,,
135.479551735867,34.7672584143235,,,
135.482283371361,34.7672700078796,,,
135.485015008428,34.7672815401897,,,
135.487746644157,34.7672930133345,,,
135.490478276953,34.7673044284521,,,
135.493209909657,34.7673157835002,,,
135.495941543907,34.7673270772931,,,
135.498673179424,34.7673383099847,,,
135.501404811378,34.7673494842661,,,
135.504136440233,34.7673605999202,,,
135.506868070601,34.7673716543095,,,
135.509599702474,34.767382647434,,,
135.51233133277,34.7673935804503,,,
135.515062958108,34.7674044546285,,,
135.517794581542,34.7674152688308,,,
135.520526206444,34.7674260217681,,,
135.523257832803,34.7674367134404,,,
135.525989454252,34.7674473483841,,,
135.528721069983,34.7674579268591,,,
135.531452686431,34.7674684445616,,,
135.534184304312,34.7674789010073,,,
135.536915923149,34.7674892997863,,,
135.539647541821,34.7674996484237,,,
135.542379160545,34.7675099433433,,,
135.545110780677,34.7675201770471,,,
135.547842402207,34.7675303495348,,,
135.55057403421,34.7675404751471,,,
135.553305679187,34.7675505598937,,,
135.556037328302,34.7675605886598,,,
135.558768978675,34.7675705562005,,,
135.561500632104,34.767580458982,,,
135.564232297614,34.7675902796412,,,
135.566963974897,34.7676000210999,,,
135.569695653455,34.7676097012845,,,
135.572427333281,34.7676193201952,,,
135.57515900914,34.7676288735311,,,
135.577890676749,34.7676383584478,,,
135.580622341556,34.7676477792529,,,
135.583354007585,34.7676571388162,,,
135.586085674492,34.7676664371736,,,
135.588817323338,34.7676756757779,,,
135.591548953928,34.7676848551947,,,
135.594280585683,34.7676939733873,,,
135.597012218594,34.7677030303556,,,
135.59974385349,34.7677120238157,,,
135.602475491415,34.7677209509122,,,
135.605207131546,34.7677298139318,,,
135.367573660467,34.7644764905472,,,
135.370305144357,34.7644906014505,,,
135.373036630189,34.7645046511153,,,
135.375768111014,34.7645186400816,,,
135.378499585454,34.7645325684018,,,
135.381231060354,34.7645464355881,,,
135.383962537164,34.7645602415275,,,
135.386694012384,34.7645739856568,,,
135.389425475365,34.7645876661768,,,
135.392156929619,34.7646012836748,,,
135.394888385752,34.7646148399238,,,
135.397619843753,34.7646283349237,,,
135.400351293306,34.7646417654214,,,
135.403082729196,34.7646551295969,,,
135.405814161825,34.7646684308531,,,
135.408545596309,34.7646816708719,,,
135.411277032842,34.7646948497451,,,
135.414008473416,34.7647079682673,,,
135.416739917081,34.7647210249135,,,
135.419471362715,34.7647340203807,,,
135.422202810307,34.7647469546683,,,
135.424934295541,34.7647598382821,,,
135.427665852751,34.7647726834734,,,
135.430397445876,34.764785479301,,,
135.433129040558,34.764798213825,,,
135.435860636788,34.7648108870458,,,
135.438592239749,34.7648234973427,,,
