原点(経度),原点(緯度),メッシュあたり導入P_MJ/y
135.5071364,34.72229944,1645471.166
135.5098666,34.72231049,1797310.498
135.5125967,34.72232148,1254910.98
135.5153269,34.72233241,187279.9324
135.5235174,34.72236483,490901.5554
135.5262475,34.72237547,1147162.518
135.5289777,34.722386,1126024.271
135.5317079,34.72239647,1057116.56
135.5344381,34.72240689,1086189.452
135.5371683,34.72241724,1321592.479
135.5398985,34.72242753,1483748.214
135.5426286,34.72243777,1124607.317
135.5453588,34.72244794,1132512.942
135.548089,34.72245805,960954.6339
135.5508192,34.72246811,662814.67
135.5535494,34.72247811,496422.0247
135.5562795,34.72248805,367066.9633
135.5590097,34.72249793,27986.03196
135.5617399,34.72250775,-1561.53398
135.5644701,34.72251751,4103.502492
135.5672003,34.72252721,769.6929806
135.4525487,34.71981337,9353079.206
135.4552787,34.71982555,16825871.9
135.4580088,34.71983767,14772078.03
135.4607388,34.71984973,14121966.47
135.4634689,34.71986173,11274463.03
135.4661989,34.71987367,12683989.46
135.468929,34.71988555,13222548.17
135.471659,34.71989736,15731977.98
135.4743891,34.71990912,14934871.28
135.4771191,34.71992082,14440406.46
135.4798492,34.71993247,18448531.97
135.4825792,34.71994405,17967334.21
135.4853093,34.71995558,14500430.36
135.4880393,34.71996704,16443612.51
135.4907694,34.71997845,15866713.87
135.4934994,34.71998981,13552098.39
135.4962295,34.72000109,14552491.21
135.4989595,34.72001233,8834035.427
135.5016896,34.72002354,3902593.571
135.5044197,34.72003471,1459570.539
135.5071498,34.72004582,415065.1303
135.5098799,34.72005688,363995.3576
135.51261,34.72006787,27084.63714
135.5208002,34.7201005,226899.0281
135.5235303,34.72011125,1069500.339
135.5262604,34.72012189,1747241.348
135.5289906,34.72013241,1235834.545
135.5317207,34.72014287,1087170.261
135.5344508,34.72015327,978179.5653
135.5371809,34.72016361,1306544.599
135.539911,34.7201739,1260211.143
135.5426411,34.72018413,1124951.43
135.5453712,34.7201943,906100.7581
135.5481013,34.72020441,795728.6089
135.5508315,34.72021446,419084.7348
135.5535616,34.72022446,378657.1003
135.5562917,34.72023439,287640.0744
135.5590218,34.72024427,133107.4713
135.5617519,34.72025409,15472.34175
135.564482,34.72026384,-8418.874762
135.5672121,34.72027354,27090.7052
135.5835928,34.72033046,6326.001573
135.5863229,34.72033973,99603.19252
135.4498336,34.71754753,331906.8606
135.4525636,34.71755977,3939657.916
135.4552935,34.71757195,16070670.3
135.4580235,34.71758407,16087557.47
135.4607535,34.71759613,11771118.5
135.4634835,34.71760813,16798159.88
135.4662134,34.71762006,11737979.64
135.4689434,34.71763194,18486623.08
135.4716734,34.71764375,17789638.59
135.4744034,34.71765551,19190478.11
135.4771334,34.71766721,17043463.56
135.4798633,34.71767885,16789293.04
135.4825933,34.71769044,15553313.15
135.4853233,34.71770196,13348319.66
135.4880533,34.71771343,14287549.66
135.4907832,34.71772483,14424302.45
135.4935132,34.71773618,7654858.15
135.4962432,34.71774746,1208480.763
135.5180833,34.71783609,175819.962
135.5208133,34.71784692,960855.4018
135.5235433,34.71785768,1508504.169
135.5262733,34.71786831,1436193.657
135.5290034,34.71787882,1151417.098
135.5317334,34.71788927,1146481.673
135.5344635,34.71789965,884171.7814
135.5371936,34.71790998,1045824.469
135.5399236,34.71792026,1044361.01
135.5426536,34.71793049,1121423.216
135.5453837,34.71794065,1200714.985
135.5481137,34.71795076,800148.3245
135.5508437,34.71796081,381485.4964
135.5535737,34.7179708,344575.0395
135.5563038,34.71798074,258130.4502
135.5590338,34.71799061,174983.23
135.5617638,34.71800042,31710.25312
135.5644939,34.71801018,23101.25931
135.5672239,34.71801987,65082.32396
135.5836042,34.71807678,19318.63557
135.5863342,34.71808605,940043.8665
135.5890642,34.71809526,1027867.598
135.4498486,34.71529392,8033208.489
135.4525785,34.71530617,8059371.528
135.4553084,34.71531835,10123643.48
135.4580382,34.71533047,15437879.84
135.4607681,34.71534253,14920421.32
135.463498,34.71535452,18084561.84
135.4662279,34.71536646,13482975.9
135.4689579,34.71537833,17102047.28
135.4716878,34.71539014,15928117.96
135.4744177,34.7154019,15372344.67
135.4771476,34.7154136,16357042.65
135.4798775,34.71542524,12352443.74
135.4826074,34.71543683,13676137.47
135.4853373,34.71544835,10210653.05
135.4880672,34.71545981,12651235.75
135.4907971,34.71547122,2852777.912
135.5126365,34.71556065,7698.465188
135.5153665,34.71557159,435830.0078
135.5180964,34.71558247,898166.1623
135.5208263,34.71559329,428943.4225
135.5235563,34.71560405,897236.533
135.5262863,34.71561468,1176964.995
135.5290162,34.71562519,1760364.382
135.5317462,34.71563563,1702883.95
135.5344762,34.71564601,1278890.867
135.5372062,34.71565633,1097637.96
135.5399362,34.71566661,1058493.373
135.5426661,34.71567684,1049996.095
135.5453961,34.715687,1678068.032
135.548126,34.7156971,945423.2372
135.550856,34.71570715,316438.1425
135.5535859,34.71571714,345629.723
135.5563159,34.71572707,300208.8038
135.5590458,34.71573695,169546.762
135.5617758,34.71574676,165391.4825
135.5645058,34.71575651,140678.1033
135.5672357,34.7157662,112925.1107
135.5699657,34.71577583,12245.93014
135.5836155,34.7158231,8651.326787
135.5863455,34.71583238,341547.3701
135.5890754,34.71584159,1278060.141
135.4416742,34.7130032,666793.626
135.444404,34.71301564,5889683.989
135.4471338,34.71302801,15164184.01
135.4498636,34.71304032,16820537.89
135.4525934,34.71305256,11006145.3
135.4553232,34.71306475,8203627.907
135.458053,34.71307687,16282724.83
135.4607828,34.71308893,17350947.76
135.4635126,34.71310092,14997514.38
135.4662425,34.71311285,13569473.03
135.4689723,34.71312472,12252883.85
135.4717021,34.71313653,15042706.04
135.474432,34.71314829,16993026.02
135.4771618,34.71315999,14650616.37
135.4798916,34.71317163,13034077.39
135.4826215,34.71318322,14149301.98
135.4853513,34.71319475,8465913.374
135.4880811,34.71320621,84008.09779
135.4990004,34.7132515,1866986.614
135.5017303,34.7132627,3824891.716
135.5044602,34.71327388,2447382.444
135.5071901,34.71328499,850564.2703
135.5099199,34.71329604,1416171.458
135.5126498,34.71330702,1245201.852
