右上経度,右上緯度,左下経度,左下緯度,メッシュあたり導入P_MJ/y
135.4976,34.7256,135.4948,34.7234,11021444.25
135.5003,34.7256,135.4975,34.7234,8022090.612
135.503,34.7257,135.5003,34.7234,4208472.961
135.5058,34.7257,135.503,34.7234,1571061.31
135.5085,34.7257,135.5057,34.7234,1056818.242
135.5112,34.7257,135.5085,34.7234,1150193.34
135.514,34.7257,135.5112,34.7234,1510901.965
135.5167,34.7257,135.5139,34.7235,1262869.054
135.5194,34.7257,135.5167,34.7235,47886.49249
135.5276,34.7258,135.5248,34.7235,611559.5924
135.5304,34.7258,135.5276,34.7235,1467726.198
135.5331,34.7258,135.5303,34.7235,1030881.607
135.5358,34.7258,135.533,34.7235,1329230.479
135.5385,34.7258,135.5358,34.7235,1119656.529
135.5413,34.7258,135.5385,34.7236,924958.875
135.544,34.7258,135.5412,34.7236,1029306.858
135.5467,34.7258,135.544,34.7236,1234756.338
135.5495,34.7258,135.5467,34.7236,1137352.075
135.5522,34.7258,135.5494,34.7236,856158.4705
135.5549,34.7259,135.5522,34.7236,659267.3643
135.5577,34.7259,135.5549,34.7236,367461.955
135.4512,34.7232,135.4484,34.7209,1338335.402
135.4539,34.7232,135.4511,34.7209,15711072.37
135.4567,34.7232,135.4539,34.721,16390134.74
135.4594,34.7232,135.4566,34.721,15820369.44
135.4621,34.7232,135.4593,34.721,9397029.039
135.4648,34.7232,135.4621,34.721,15395536.2
135.4676,34.7233,135.4648,34.721,17098851.72
135.4703,34.7233,135.4675,34.721,16446085.74
135.473,34.7233,135.4703,34.721,13169541.71
135.4758,34.7233,135.473,34.721,15332901.12
135.4785,34.7233,135.4757,34.721,13279854.38
135.4812,34.7233,135.4784,34.7211,19019723.55
135.484,34.7233,135.4812,34.7211,12712422.15
135.4867,34.7233,135.4839,34.7211,11918682.39
135.4894,34.7233,135.4866,34.7211,16048149.96
135.4921,34.7234,135.4894,34.7211,13562826.9
135.4949,34.7234,135.4921,34.7211,13585955.12
135.4976,34.7234,135.4948,34.7211,11972160.66
135.5003,34.7234,135.4976,34.7211,10529244.98
135.5031,34.7234,135.5003,34.7212,6075389.583
135.5058,34.7234,135.503,34.7212,3534945.158
135.5085,34.7234,135.5057,34.7212,1645471.166
135.5113,34.7234,135.5085,34.7212,1797310.498
135.514,34.7234,135.5112,34.7212,1254910.98
135.5167,34.7235,135.5139,34.7212,187279.9324
135.5249,34.7235,135.5221,34.7212,490901.5554
